Code,Description
767,Qualifications for emergent/urgent careStart: 01/26/2014
768,Service date outside the accidental injury coverage period.Start: 01/26/2014
769,DME Repair or MaintenanceStart: 06/01/2014
770,Duplicate of a claim processed or in process as a crossover/coordination of benefits claim.Start: 09/28/2014
771,Claim submitted prematurely. Please resubmit after crossover/payer to payer COB allotted waiting period.Start: 09/28/2014
772,The greatest level of diagnosis code specificity is required.Start: 03/01/2016
773,One calendar year per claim.Start: 11/01/2016
774,Experimental/InvestigationalStart: 11/01/2016
775,Entity Type Qualifier (Person/Non-Person Entity). Usage: this code requires use of an entity code.Start: 07/01/2017
776,Pre/Post-operative careStart: 07/01/2017
777,Processed based on multiple or concurrent procedure rules.Start: 07/01/2017
778,Non-Compensable incident/event. Usage: To be used for Property and Casualty only.Start: 07/01/2017
779,Service submitted for the same/similar service within a set timeframe.Start: 11/01/2017
780,Lifetime benefit maximumStart: 11/01/2017
781,Claim has been identified as a readmissionStart: 11/01/2017
782,Second surgical opinionStart: 03/01/2018
783,Federal sequestration adjustmentStart: 11/01/2018
784,Electronic Visit Verification criteria do not match.Start: 03/01/2019
785,Missing/Invalid Sterilization/Abortion/Hospital Consent Form.Start: 07/01/2019
786,Submit claim to the third party property and casualty automobile insurer.Start: 07/01/2019
787,"Resubmit a new claim, not a replacement claim.Start: 07/01/2019"
788,Submit these services to the Pharmacy plan/processor for further consideration/adjudication.Start: 07/01/2019 | Last Modified: 11/16/2022
789,Submit these services to the patient's Medical Plan for further consideration.Start: 07/01/2019
790,Submit these services to the patient's Dental Plan for further consideration.Start: 07/01/2019
791,Submit these services to the patient's Vision Plan for further consideration.Start: 07/01/2019
792,Submit these services to the patient's Behavioral Health Plan for further consideration.Start: 07/01/2019
793,Submit these services to the patient's Property and Casualty Plan for further consideration.Start: 07/01/2019
794,Claim could not complete adjudication in real time. Resubmit as a batch request.Start: 11/01/2020
795,Claim submitted prematurely. Please provide the prior payer's final adjudication.Start: 11/01/2020
796,Procedure code not valid for date of service.Start: 11/01/2021
797,Entity's TRICARE provider id. Usage: This code requires use of an Entity Code.Start: 11/01/2021 | Last Modified: 03/01/2022 | Stop: 03/01/2022
798,Claim predetermination/estimation could not be completed in real time. Claim requires manual review upon submission. Do not resubmit.Start: 08/01/2022
799,"Resubmit a replacement claim, not a new claim.Start: 08/01/2022"
800,Entity's required reporting has been forwarded to the jurisdiction. Usage: This code requires use of an Entity Code. To be used for Property and Casualty only.Start: 03/01/2023
801,Entity's required reporting was accepted by the jurisdiction. Usage: This code requires use of an Entity Code. To be used for Property and Casualty only.Start: 03/01/2023
802,Entity's required reporting was rejected by the jurisdiction. Usage: This code requires use of an Entity Code. To be used for Property and Casualty only.Start: 03/01/2023
803,Provider reporting has been rejected due to non-compliance with the jurisdiction's mandated registration. To be used for Property and Casualty only.Start: 03/01/2023
804,Exceeds inquiry limit for batch.Start: 07/01/2024
805,Mammography Certification NumberStart: 07/01/2024
806,Residential county does not match the county of the service location.Start: 07/01/2024
807,Health Risk AssessmentStart: 07/01/2024
